Item,Database,Description,Example values,History scenarios,Mobile equivalent,Order,Saving scenarios,Specs,Status,Tag,Type,Web equivalent
countNumberOfTimes,Learn - Mobile,number of times a flashcard was seen,countNumberOfTimes = 7,,SRS_COUNTER (https://app.notion.com/p/SRS_COUNTER-17b3138618268008a503f278fdbe80d4?pvs=21),2.3,,,NA,,Integer,TIMES_SEEN (https://app.notion.com/p/TIMES_SEEN-17b31386182680b5b2e7da505eb88922?pvs=21)
cardPriority,Learn - Mobile,"this is not used yet, devs added it to support creating games based on user’s selected flashcards",cardPriority = 0,,,3.5,,,NA,,Integer,CLASSIFICATION (https://app.notion.com/p/CLASSIFICATION-17b313861826800190cecacf5c455f1d?pvs=21)
firstSeenDate,Learn - Mobile,Date a flashcard was first seen,"firstSeenDate = ""2025-11-11 12:49:45 +0000"";",,FIRST_SEEN_DATE (https://app.notion.com/p/FIRST_SEEN_DATE-17b3138618268023a86ffc2206e4d2dd?pvs=21),2.1,,,NA,,Date,FIRST_SEEN_DATE (https://app.notion.com/p/FIRST_SEEN_DATE-17b3138618268023a86ffc2206e4d2dd?pvs=21)
isIgnored,Learn - Mobile,,True / False,,,3.4,,,NA,,Boolean,CLASSIFICATION (https://app.notion.com/p/CLASSIFICATION-17b313861826800190cecacf5c455f1d?pvs=21)
isReadyToMemorize,Learn - Mobile,"keep track of cards marked as Memorized. But it’s not a boolean now, it’s a number!","0, 1, 2, 3, 4",,,3.1,,,NA,,Boolean,SRS_COUNTER (https://app.notion.com/p/SRS_COUNTER-17b3138618268008a503f278fdbe80d4?pvs=21)
lastSeenDate,Learn - Mobile,Date a flashcard was last seen,"lastSeenDate = ""2025-12-09 11:29:35 +0000"";",,LAST_SEEN_DATE (https://app.notion.com/p/LAST_SEEN_DATE-17b313861826802f9f4fe310a2fbdaff?pvs=21),2.2,,,NA,,Date,LAST_SEEN_DATE (https://app.notion.com/p/LAST_SEEN_DATE-17b313861826802f9f4fe310a2fbdaff?pvs=21)
translationsList,Learn - Mobile,the Context Translation Result response from bst-query-service,"clandestin, subreptice, furtif",,TARGET_LIST (https://app.notion.com/p/TARGET_LIST-17b31386182680f4ac2afb75dffaa414?pvs=21),1.2,,,NA,,Transformable,"TARGET_LIST (https://app.notion.com/p/TARGET_LIST-17b31386182680f4ac2afb75dffaa414?pvs=21), TARGET_TEXT (https://app.notion.com/p/TARGET_TEXT-2114e592e5fb4d93bd67bc672bd8f4bb?pvs=21)"
lastStatus,Learn - Mobile,Last status of a Flashcard,"Yes, No or Partially (integer!). “Partially” = “in progress”",,LAST_STATUS (https://app.notion.com/p/LAST_STATUS-17b31386182680219ff1eeeb4db97808?pvs=21),3.2,,,NA,,Integer,LAST_STATUS (https://app.notion.com/p/LAST_STATUS-17b31386182680219ff1eeeb4db97808?pvs=21)
wasMemorized,Learn - Mobile,Boolean to display the card in Memorized section even if it is reused,True / False,,MEMORIZED (https://app.notion.com/p/MEMORIZED-17b31386182680de96d9d2905957c775?pvs=21),3.3,,,NA,,Boolean,MEMORIZED (https://app.notion.com/p/MEMORIZED-17b31386182680de96d9d2905957c775?pvs=21)
sourceLanguage,Learn - Mobile,source language for the text,En,,SOURCE_LANG (https://app.notion.com/p/SOURCE_LANG-17b31386182680d481abd351c7a84c2c?pvs=21),1.4,,,NA,,String,SOURCE_LANG (https://app.notion.com/p/SOURCE_LANG-17b31386182680d481abd351c7a84c2c?pvs=21)
targetLanguage,Learn - Mobile,target language for the text,Fr,,TARGET_LANG (https://app.notion.com/p/TARGET_LANG-17b31386182680d4b6a7c5602bc25da0?pvs=21),1.5,,,NA,,String,TARGET_LANG (https://app.notion.com/p/TARGET_LANG-17b31386182680d4b6a7c5602bc25da0?pvs=21)
examplesList,Learn - Mobile,"for every card generated from reverse or suggestion, we save the examples *the values are from bst-query-service json under “list” key","examplesList = ""(\n    \""<ReversoContext.CDTranslation: 0x600001ee68a0> (entity: CDTranslation; id: 0x6000029bebc0 x-coredata:///CDTranslation/tC6BF0475-41A3-4B2C-99B6-2ABCA99D1A66141; data: {\\n    card = nil;\\n    comment = \\\""et non \\\\\\\""issue\\\\\\\""\\\"";\\n    createdAt = \\\""2025-05-26 12:44:30 +0000\\\"";\\n    deletedAt = nil;\\n    editedSource = nil;\\n    editedTranslation = nil;\\n    favType = 0;\\n    isExpanded = 0;\\n    isRemoved = 0;\\n    modifiedAt = \\\""2025-05-26 12:44:30 +0000\\\"";\\n    multilists =     (\\n    );\\n    reference = nil;\\n    searchText = issue;\\n    serverID = 0;\\n    serverTargetText = \\\""probl\\\\U00e8me\\\"";\\n    sourceLanguage = en;\\n    sourcePos = \\\""n.\\\"";\\n    sourceText = \\\""The main <em>issue</em> discussed at the meeting was the budget.\\\"";\\n    targetLanguage = fr;\\n    targetPos = \\\""nm.\\\"";\\n    targetText = \\\""Le principal <em>probl\\\\U00e8me</em> discut\\\\U00e9 lors de la r\\\\U00e9union \\\\U00e9tait le budget.\\\"";\\n})\""\n)"";",,EXAMPLES_LIST (https://app.notion.com/p/EXAMPLES_LIST-17b31386182680999949e68f9a44487d?pvs=21),1.3,,,NA,,Transformable,EXAMPLES_LIST (https://app.notion.com/p/EXAMPLES_LIST-17b31386182680999949e68f9a44487d?pvs=21)
searchText,Learn - Mobile,source text,surreptitious,,,1.1,,,NA,,String,SOURCE_TEXT (https://app.notion.com/p/SOURCE_TEXT-17b31386182680359f6ef2e52c34db81?pvs=21)
source,Learn - Mobile,"here we save if an item is added from history or favorites (or none of it). It’s taken into account when, for example, user changes the strategy and wants to play favorites only. Among all “in progress” cards, only “source: favorites” will appear in the game",source = 1;,,SOURCE (https://app.notion.com/p/SOURCE-17b313861826809bae9bcd035ee93eeb?pvs=21),4.1,,"enum Source : Int {
    case reversoSuggestions = 0
    case phrasebook
    case history
    case words
 
    var sourceName: String {
        switch self {
        case .reversoSuggestions:
            ""Reverso Suggestions""
        case .phrasebook:
            ""Favorites""
        case .history:
            ""History""
        case .words:
            ""Words""",NA,,Integer,SOURCE (https://app.notion.com/p/SOURCE-17b313861826809bae9bcd035ee93eeb?pvs=21)
ID,History - web,ID of the history entry,1423442342,,serverID (https://app.notion.com/p/serverID-38331386182680ca88e6dbe1e2732fef?pvs=21),9.2,,,On prod,,Integer,
ID,Favourites - Web,ID of the favourite,1423442342,,,1.0,All scenarios (https://app.notion.com/p/All-scenarios-380313861826802d839ff21f72908a25?pvs=21),,On prod,ID,Integer,
NUSER_ID,Favourites - Web,User ID of the owner,58275634,,,1.1,All scenarios (https://app.notion.com/p/All-scenarios-380313861826802d839ff21f72908a25?pvs=21),,On prod,ID,Integer,
HASH,Favourites - Web,Internal value to identify the favourite on interface (to be removed in the future),b15747bcc7621cc80ed12329a5d8fd90,,,,,Max 200 chars,On prod,Other,String,
